product_id,category,subcategory,brand,rating,ratings_count,initial_price,discount,final_price,return&exchange,try&buy,1_star,2_star,3_star,4_star,5_star,fit,transparency,comfort,stretch,length,is_best_offer,is_more_offer,best_offer,more_offers,what_customers_said
7349545,Accessories,watches,Fantasy World,3.7,119,$499,20,$499,Both,TRUE,7,0,1,0,5,None,None,None,None,None,TRUE,TRUE,{},"[{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""EMI option available""}]",
20042696,Clothing,shirts,FlyingMachine,3.9,102,"$1,999",55,"$1,999",Both,TRUE,6,7,6,12,44,JustRight,None,None,None,None,FALSE,TRUE,,"[""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""EMIoptionavailable""]","percentage:70,value_name:Fit,JustRight,percentage:90,value_name:Length,JustRight"
16186258,Clothing,kurtas,Vishudh,4.2,87,"$1,799",79,$377,Both,TRUE,0,1,0,4,9,JustRight,Low,None,None,JustRight,TRUE,TRUE,"""applicable_on"":""OrdersaboveRs.649(onlyonfirstpurchase)"",""best_price"":""261"",""coupon_code"":""MYNTRA200"",""coupon_discount"":""Rs.116.0off(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends.""]","percentage:90,value_name:Fit,JustRight,percentage:87,value_name:Length,JustRight,percentage:71,value_name:Transparency,Low"
17743820,Accessories,headphones,NOISE,3.8,97,"$3,499",,"$3,499",None,FALSE,0,0,0,0,0,None,None,None,None,None,TRUE,TRUE,{},"[{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""EMI option available""}]",
18241294,Clothing,sweaters,Roadster,4.3,90,"$1,699",5,$628,None,FALSE,2,0,0,0,0,JustRight,None,None,None,JustRight,TRUE,TRUE,"""applicable_on"":""OrdersaboveRs.749(onlyonfirstpurchase)"",""best_price"":""418"",""coupon_code"":""TOPundergarmentsNDOFFER"",""coupon_discount"":""Rs.210.0off(checkcartforfinalsavings)""","[""offer_name"":""10%InstantDiscountonIndusIndBankDebitCards"",""offer_value"":""MinSpend₹2,500;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""10%InstantDiscountonYesBankCreditCards"",""offer_value"":""MinSpend₹3,500;MaxDiscount₹1,000."",""offer_name"":""Flat₹100CashbackonMobiwkikWallet/Zip"",""offer_value"":""MinSpend₹1,999."",""offer_name"":""7.5%DiscountonMyntraKotakCreditCard."",""offer_value"":""MaxDiscountUpto₹750oneveryspends."",""offer_name"":""EMIoptionavailable"",""offer_value"":""EMIstartingfromRs.30/month""]","percentage:88,value_name:Fit,JustRight,percentage:86,value_name:Length,JustRight,percentage:63,value_name:Thickness,Medium"
9213113,Clothing,tshirts,Roadster,4.1,994,$799,50,$799,Both,TRUE,0,0,3,8,16,JustRight,None,None,None,None,FALSE,TRUE,,"[""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""EMIoptionavailable""]","percentage:68,value_name:Fit,JustRight,percentage:76,value_name:Length,JustRight"
17631178,Footwear,sports-shoes,Slazenger,3.7,127,"$3,599",,"$3,599",Both,TRUE,0,0,0,0,0,None,None,None,None,None,TRUE,TRUE,{},"[{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""EMI option available""}]",
18506050,Footwear,casual-shoes,Bata,4.4,86,"$1,199",55,$539,Both,TRUE,0,0,0,0,0,None,None,None,None,None,TRUE,TRUE,"{""applicable_on"":""Orders above Rs. 599 (only on first purchase)"",""best_price"":""359"",""coupon_code"":""MYNTRA200"",""coupon_discount"":"" Rs. 180.0 off (check cart for final savings)""}","[{""offer_name"":""10% Instant Discount on IndusInd Bank Debit Cards "",""offer_value"":"" Min Spend ₹2,500; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Yes Bank Credit Cards "",""offer_value"":"" Min Spend ₹3,500; Max Discount ₹1,000. ""},{""offer_name"":""Flat ₹100 Cashback on Mobiwkik Wallet/Zip "",""offer_value"":"" Min Spend ₹1,999. ""},{""offer_name"":""7.5% Discount on Myntra Kotak Credit Card."",""offer_value"":"" Max Discount Up to ₹750 on every spends. ""},{""offer_name"":""EMI option available"",""offer_value"":""EMI starting from Rs.26/month""}]",
15787112,Personal Care,face-moisturisers,Mamaearth,4.3,903,$319,12,$280,Exchange,FALSE,1,0,0,0,0,None,None,None,None,None,TRUE,TRUE,"{""applicable_on"":""Orders above Rs. 649 (only on first purchase)"",""best_price"":""194"",""coupon_code"":""MYNTRA200"",""coupon_discount"":"" Rs. 86.0 off (check cart for final savings)""}","[{""offer_name"":""10% Instant Discount on IndusInd Bank Debit Cards "",""offer_value"":"" Min Spend ₹2,500; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Citi Credit & Debit Cards "",""offer_value"":"" Min Spend ₹3,000; Max Discount ₹1,000. ""},{""offer_name"":""10% Instant Discount on Yes Bank Credit Cards "",""offer_value"":"" Min Spend ₹3,500; Max Discount ₹1,000. ""},{""offer_name"":""Flat ₹100 Cashback on Mobiwkik Wallet/Zip "",""offer_value"":"" Min Spend ₹1,999. ""},{""offer_name"":""7.5% Discount on Myntra Kotak Credit Card."",""offer_value"":"" Max Discount Up to ₹750 on every spends. ""}]",
6510138,Clothing,sweatshirts,Roadster,4.3,959,"$1,999",50,"$1,999",None,FALSE,1,0,1,2,11,JustRight,None,None,None,JustRight,FALSE,TRUE,,"[""offer_name"":""10%InstantDiscountonCitiCredit&DebitCards"",""offer_value"":""MinSpend₹3,000;MaxDiscount₹1,000."",""offer_name"":""EMIoptionavailable""]","percentage:84,value_name:Fit,JustRight,percentage:87,value_name:Length,JustRight,percentage:74,value_name:Thickness,Medium"
